M_eV,omega_s,delta_phi_rad
0.01,1577593061362361.2,103.83906161111815
0.01,1614433088831602.0,106.26391626839604
0.01,1652133406357368.5,108.74539624583466
0.01,1690714103473578.2,111.28482386057729
0.01,1730195738845891.0,113.88355230857954
0.01,1770599351226894.2,116.54296638569245
0.01,1811946470667118.5,119.26448322558525
0.01,1854259129987854.2,122.0495530548997
0.01,1897559876521850.2,124.89965996603695
0.01,1941871784128254.8,127.8163227079953
0.01,1987218465488053.2,130.80109549567067
0.01,2033624084686670.2,133.85556883805847
0.01,2081113370090399.2,136.98137038579557
0.01,2129711627523482.5,140.18016579849152
0.01,2179444753752988.0,143.45365963231927
0.01,2230339250288498.8,146.80359624832718
0.01,2282422237504097.5,150.23176074196488
0.01,2335721469090121.5,153.73997989431518
0.01,2390265346842389.0,157.33012314553864
0.01,2446082935796795.5,161.00410359105058
0.01,2503203979717320.5,164.76387900096054
0.01,2561658916945721.5,168.6114528633178
0.01,2621478896621347.5,172.548875451719
0.01,2682695795279727.0,176.5782449178471
0.01,2745342233838714.0,180.70170840951974
0.01,2809451594981406.0,184.92146321485376
0.01,2875058040944877.0,189.2397579331408
0.01,2942196531724371.0,193.65889367306912
0.01,3010902843702598.5,198.18122527892623
0.01,3081213588714008.5,202.80916258543192
0.01,3153166233554367.5,207.54517170188225
0.01,3226799119945812.0,212.3917763262731
0.01,3302151484968175.5,217.35155909011436
0.01,3379263481967431.5,222.42716293464912
0.01,3458176201952377.5,227.6212925192084
0.01,3538931695490984.0,232.93671566245555
0.01,3621572995118067.0,238.37626481728572
0.01,3706144138266220.5,243.94283858016732
0.01,3792690190732238.0,249.63940323573007
0.01,3881257270691540.0,255.46899433742317
0.01,3971892573273302.0,261.43471832507964
0.01,4064644395709627.5,267.53975418026516
0.01,4159562163071843.0,273.7873551202715
0.01,4256696454607867.0,280.1808503316736
0.01,4356099030694617.0,286.7236467443697
0.01,4457822860419716.0,293.4192308470417
0.01,4561922149807468.0,300.27117054502287
0.01,4668452370703794.0,307.28311706153886
0.01,4777470290335773.0,314.45880688335205
0.01,4889034001561442.0,321.80206375183946
0.01,5003202953825999.0,329.3168007005671
0.01,5120037984840882.0,337.007022140445
0.01,5239601353002633.0,344.8768259935751
0.01,5361956770568805.0,352.93040587692974
0.01,5487169437608587.0,361.172053337022
0.01,5615306076746278.0,369.6061601367629
0.01,5746434968715974.0,378.23722059571315
0.01,5880625988746757.0,387.06983398500006
0.01,6017950643797328.0,396.10870697814545
0.01,6158482110660254.0,405.3586561591328
0.01,6302295274956036.0,414.82461058904363
0.01,6449466771037634.0,424.51161443262055
0.01,6600075022827102.0,434.4248296461839
0.01,6754200285605594.0,444.56953872829973
0.01,6911924688779366.0,454.951147534689
0.01,7073332279644438.0,465.5751881588704
0.01,7238509068173247.0,476.4473218800709
0.01,7407543072847155.0,487.5733421799765
0.01,7580524367559245.0,498.9591778299306
0.01,7757545129612397.0,510.610896050224
0.01,7938699688838207.0,522.5347057431618
0.01,8124084577862974.0,534.73696080163
0.01,8313798583547334.0,547.2241634949139
0.01,8507942799627444.0,560.0029679336044
0.01,8706620680585118.0,573.080183615394
0.01,8909938096776098.0,586.4627790536857
0.01,9118003390845700.0,600.1578854909384
0.01,9330927435461682.0,614.1728006987132
0.01,9548823692395676.0,628.5149928664841
0.01,9771808272983908.0,643.1921045812347
0.01,1e+16,658.2119569
0.03,1000000000000.0,0.021940398563333335
0.03,1023352047097.2576,0.0224527517839169
0.03,1047249412298.1476,0.022977069501037957
0.03,1071704829896.7094,0.02351363111018316
0.03,1096731331558.8157,0.024062722531295693
0.03,1122342253266.4197,0.024624636361134853
0.03,1148551242423.9392,0.025199672029192915
0.03,1175372265130.6365,0.025788135957254064
