M_eV,dt_s,visibility
0.01,1.389495494373136e-10,0.0
0.01,1.4384498882876658e-10,0.0
0.01,1.4891290324394056e-10,0.0
0.01,1.5415936928422733e-10,0.0
0.01,1.5959067764047309e-10,0.0
0.01,1.6521334063573685e-10,0.0
0.01,1.710341000337838e-10,0.0
0.01,1.7705993512268945e-10,0.0
0.01,1.8329807108324374e-10,0.0
0.01,1.8975598765218504e-10,0.0
0.01,1.9644142809066266e-10,0.0
0.01,2.0336240846866702e-10,0.0
0.01,2.1052722727657027e-10,0.0
0.01,2.1794447537529878e-10,0.0
0.01,2.2562304629706352e-10,0.0
0.01,2.3357214690901213e-10,0.0
0.01,2.418013084525718e-10,0.0
0.01,2.50320397971732e-10,0.0
0.01,2.5913963014396624e-10,0.0
0.01,2.682695795279716e-10,0.0
0.01,2.777211932429355e-10,0.0
0.01,2.875058040944877e-10,0.0
0.01,2.976351441631313e-10,0.0
0.01,3.0812135887140085e-10,0.0
0.01,3.1897702154663117e-10,0.0
0.01,3.302151484968176e-10,0.0
0.01,3.4184921461759273e-10,0.0
0.01,3.5389316954909843e-10,0.0
0.01,3.663614544020723e-10,0.0
0.01,3.792690190732238e-10,0.0
0.01,3.9263134017068395e-10,0.0
0.01,4.0646443957096276e-10,0.0
0.01,4.2078490362973985e-10,0.0
0.01,4.356099030694617e-10,0.0
0.01,4.5095721356761353e-10,0.0
0.01,4.668452370703795e-10,0.0
0.01,4.832930238571753e-10,0.0
0.01,5.003202953825998e-10,0.0
0.01,5.179474679231202e-10,0.0
0.01,5.361956770568805e-10,0.0
0.01,5.550868030059811e-10,0.0
0.01,5.746434968715973e-10,0.0
0.01,5.948892077934331e-10,0.0
0.01,6.158482110660254e-10,0.0
0.01,6.375456372456493e-10,0.0
0.01,6.600075022827103e-10,0.0
0.01,6.832607387157405e-10,0.0
0.01,7.073332279644439e-10,0.0
0.01,7.322538337604525e-10,0.0
0.01,7.580524367559246e-10,0.0
0.01,7.847599703514623e-10,0.0
0.01,8.12408457786294e-10,0.0
0.01,8.410310505352605e-10,0.0
0.01,8.706620680585118e-10,0.0
0.01,9.013370389517421e-10,0.0
0.01,9.330927435461683e-10,0.0
0.01,9.659672580093803e-10,0.0
0.01,9.999999999999999e-10,0.0
0.03,1e-15,0.9554450525540477
0.03,1.0352317759307377e-15,0.9539120351287773
0.03,1.0717048298967093e-15,0.9523275979819625
0.03,1.109462894327524e-15,0.9506901106930254
